51. Tarvaris Jackson,SEA,3,10,13,151,1,0,4,1,1,17.7,5.9
 52. Matt Simms,NYJ,3,16,31,156,1,1,5,37,0,15.5,5.2
 53. Matt Barkley,PHI,3,30,49,300,0,4,2,-2,0,14.8,4.9
 54. Seneca Wallace,GB,2,16,24,139,0,1,0,0,0,7.0,3.5
 55. Tyrod Taylor,BAL,3,1,5,2,0,1,8,64,0,6.5,2.2
 56. Matt Hasselbeck,IND,3,7,12,130,0,1,2,-2,0,6.3,2.1
 57. T.J. Yates,HOU,2,15,22,113,0,2,1,0,0,5.7,2.8
 58. Brock Osweiler,DEN,2,11,16,95,0,0,3,2,0,5.0,2.5
 59. Matt Moore,MIA,1,2,6,53,0,2,0,0,0,2.7,2.7
 60. Curtis Painter,NYG,3,8,16,57,0,2,3,-2,0,2.7,0.9
 61. Josh Johnson,CIN,2,0,0,0,0,0,7,20,0,2.0,1.0
 62. Dominique Davis,ATL,1,5,7,34,0,0,0,0,0,1.7,1.7
 63. Colt McCoy,SF,2,1,1,13,0,0,3,-3,0,0.4,0.2
 64. Derek Anderson,CAR,3,0,0,0,0,0,5,0,0,0.0,0.0
 65. Shaun Hill,DET,1,0,0,0,0,0,2,-2,0,-0.2,-0.2
 66. Luke McCown,NO,3,0,1,0,0,0,3,-4,0,-0.4,-0.1
 67. Charlie Whitehurst,SD,2,0,0,0,0,0,6,-5,0,-0.5,-0.3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
