,Josh Gordon ,CLE ,164,227,14,16.24,5,88,0,159,87,1646,9,0,0
,Demaryius Thomas ,DEN ,142,227,16,14.19,0,0,0,142,92,1430,14,0,0
,Calvin Johnson ,DET ,156,221,14,15.80,0,0,0,156,84,1492,12,1,0
,A.J. Green ,CIN ,178,209,16,13.04,0,0,0,178,98,1426,11,0,0
,Brandon Marshall ,CHI ,164,202,16,12.59,0,0,0,164,100,1295,12,0,0
,Dez Bryant ,DAL ,160,201,16,12.59,1,1,0,159,93,1233,13,1,0
,Antonio Brown ,PIT ,171,198,16,12.39,7,4,0,163,110,1499,8,0,0
,Eric Decker ,DEN ,136,195,16,12.18,0,0,0,136,87,1288,11,1,0
,Alshon Jeffery ,CHI ,165,195,16,12.16,16,105,0,149,89,1421,7,1,0
,DeSean Jackson ,PHI ,129,187,16,11.71,3,2,0,126,82,1332,9,0,0
,Jordy Nelson ,GB ,127,179,16,11.21,0,0,0,127,85,1314,8,0,0
,Andre Johnson ,HOU ,181,171,16,10.67,0,0,0,181,109,1407,5,0,0
,Pierre Garcon ,WAS ,184,166,16,10.41,2,19,0,182,113,1346,5,1,0
,Vincent Jackson ,TB ,161,164,16,10.28,1,0,0,160,78,1224,7,0,0
,Anquan Boldin ,SF ,131,161,16,10.06,2,11,0,129,85,1179,7,0,0
,Larry Fitzgerald ,ARI ,138,156,16,9.76,2,8,0,135,82,954,10,1,0
,Keenan Allen ,SD ,104,153,15,10.17,0,0,0,104,71,1046,8,2,0
,Julian Edelman ,NE ,153,143,16,8.92,2,11,0,151,105,1056,6,0,0
,T.Y. Hilton ,IND ,137,139,16,8.68,2,6,0,135,82,1083,5,0,0
,Wes Welker ,DEN ,111,138,13,10.60,0,0,0,111,73,778,10,1,0
,Marvin Jones ,CIN ,89,138,16,8.61,8,65,0,81,51,712,10,0,0
,Torrey Smith ,BAL ,137,137,16,8.55,0,0,0,137,65,1128,4,0,0
,Michael Floyd ,ARI ,112,134,16,8.38,0,0,0,112,65,1041,5,0,0
,Riley Cooper ,PHI ,83,133,16,8.33,0,18,0,83,47,835,8,0,0
,Mike Wallace ,MIA ,141,126,16,7.89,3,33,0,138,73,930,5,0,0
,Brian Hartline ,MIA ,130,126,16,7.85,0,0,0,130,76,1016,4,0,0
,Marques Colston ,NO ,111,124,15,8.29,0,0,0,111,75,943,5,0,0
,Victor Cruz ,NYG ,122,124,14,8.84,0,0,0,122,73,998,4,1,0
,Golden Tate ,SEA ,102,123,16,7.68,3,31,0,99,64,898,5,0,0
,Kendall Wright ,TEN ,139,120,16,7.49,0,0,0,139,94,1079,2,0,0
,Jerricho Cotchery ,PIT ,77,120,16,7.48,1,-5,0,76,46,602,10,0,0
,Harry Douglas ,ATL ,132,119,16,7.42,0,0,0,132,85,1067,2,2,0
,Rod Streater ,OAK ,101,114,16,7.16,2,17,0,99,60,888,4,1,0
,Eddie Royal ,SD ,70,113,15,7.55,3,21,0,67,47,631,8,1,0
,Emmanuel Sanders ,PIT ,113,112,16,7.03,1,25,0,112,67,740,6,0,0
,Nate Washington ,TEN ,105,110,16,6.87,0,0,0,105,58,919,3,0,0
,Doug Baldwin ,SEA ,75,108,16,6.78,2,6,0,73,50,778,5,0,0
,Cordarrelle Patterson ,MIN ,89,105,16,6.54,12,158,3,77,45,469,4,0,0
,Greg Jennings ,MIN ,106,104,15,6.96,0,0,0,106,68,804,4,0,0
,Terrance Williams ,DAL ,77,104,16,6.50,3,4,0,74,44,736,5,2,0
,James Jones ,GB ,93,100,14,7.12,0,0,0,93,59,817,3,1,0
,Denarius Moore ,OAK ,86,100,13,7.65,0,0,0,86,46,695,5,0,0
,Steve Smith ,CAR ,110,98,15,6.57,0,0,0,110,64,745,4,0,0
,Dwayne Bowe ,KC ,103,97,15,6.49,0,0,0,103,57,673,5,0,0
,Rueben Randle ,NYG ,78,97,16,6.07,0,0,0,78,41,611,6,1,0
,Cecil Shorts ,JAC ,123,96,13,7.36,0,0,0,123,66,777,3,0,0
,Kenny Stills ,NO ,53,95,16,5.94,3,10,0,50,32,641,5,0,0
,Brandon LaFell ,CAR ,87,94,16,5.89,2,15,0,85,49,627,5,0,0
,Marlon Brown ,BAL ,83,94,14,6.73,1,-2,0,82,49,524,7,0,0
,DeAndre Hopkins ,HOU ,91,92,16,5.76,0,0,0,91,52,802,2,1,0
,Hakeem Nicks ,NYG ,101,90,15,5.97,0,0,0,101,56,896,0,0,0
,Roddy White ,ATL ,97,89,14,6.36,0,0,0,97,63,711,3,1,0
,Ted Ginn ,CAR ,72,88,16,5.53,4,29,0,68,36,556,5,0,0
,Tavon Austin ,STL ,79,87,13,6.68,9,151,1,69,40,418,4,1,0
,Jarrett Boykin ,GB ,83,86,16,5.38,0,0,0,83,49,681,3,0,0
,Stevie Johnson ,BUF ,102,79,12,6.56,1,10,0,101,52,597,3,1,0
,Jerome Simpson ,MIN ,100,79,16,4.91,0,0,0,100,48,726,1,0,0
,Robert Woods ,BUF ,87,78,14,5.59,2,16,0,85,40,587,3,0,0
,Aaron Dobson ,NE ,72,76,12,6.33,0,0,0,72,37,519,4,0,0
,Danny Amendola ,NE ,84,75,12,6.28,1,1,0,83,54,633,2,0,0
,Randall Cobb ,GB ,51,75,6,12.52,4,78,0,47,31,433,4,0,0
,Donnie Avery ,KC ,73,72,16,4.51,2,6,0,71,40,596,2,1,0
,Jeremy Kerley ,NYJ ,77,71,12,5.95,4,11,0,72,43,523,3,0,0
,Julio Jones ,ATL ,60,71,5,14.14,1,7,0,59,41,580,2,1,0
,Kenbrell Thompkins ,NE ,69,71,12,5.88,0,0,0,69,32,466,4,0,0
,Terrelle Pryor ,OAK ,355,70,11,6.33,83,576,2,0,0,0,0,2,11
,Tiquan Underwood ,TB ,46,68,12,5.67,0,0,0,46,24,440,4,0,0
,Austin Pettis ,STL ,63,64,16,3.99,0,0,0,63,38,399,4,0,0
,Reggie Wayne ,IND ,56,63,7,8.97,1,5,0,55,38,503,2,0,0
,Jarius Wright ,MIN ,43,61,16,3.84,0,0,0,43,26,434,3,0,0
,Kris Durham ,DET ,85,61,16,3.81,0,0,0,85,38,490,2,1,0
,Santana Moss ,WAS ,82,60,16,3.73,3,25,0,79,42,452,2,2,0
