Antonio Brown ,15.57,171,110,1499,8,115,66,787,5
Jordy Nelson ,14.37,127,85,1314,8,73,49,745,7
Dez Bryant ,14.25,160,93,1233,13,140,92,1382,12
Demaryius Thomas ,14.24,142,92,1430,14,141,94,1434,10
Randall Cobb ,12.78,51,31,433,4,114,80,954,8
Emmanuel Sanders ,12.43,113,67,740,6,76,44,626,1
Julio Jones ,13.03,60,41,580,2,134,79,1198,10
T.Y. Hilton ,11.90,137,82,1083,5,96,50,861,7
Alshon Jeffery ,11.04,165,89,1421,7,48,24,367,3
Golden Tate ,10.01,102,64,898,5,71,45,688,7
DeSean Jackson ,10.24,129,82,1332,9,90,45,700,2
Mike Wallace ,9.24,141,73,930,5,124,64,836,8
Torrey Smith ,8.92,137,65,1128,4,113,49,855,8
Steve Smith ,8.91,110,64,745,4,141,73,1174,4
A.J. Green ,10.79,178,98,1426,11,168,97,1350,11
Brandon LaFell ,8.66,87,49,627,5,79,44,677,4
Anquan Boldin ,8.54,131,85,1179,7,113,65,921,4
Roddy White ,9.58,97,63,711,3,143,92,1351,7
Julian Edelman ,9.33,153,105,1056,6,36,21,235,3
Eric Decker ,8.41,136,87,1288,11,122,85,1064,13
Malcom Floyd ,7.60,11,6,149,0,85,56,814,5
Eddie Royal ,7.58,70,47,631,8,47,23,234,1
Michael Floyd ,7.52,112,65,1041,5,86,45,562,2
Marques Colston ,7.51,111,75,943,5,130,83,1154,10
Brandon Marshall ,9.24,164,100,1295,12,193,118,1508,11
Mohamed Sanu ,7.13,82,47,455,2,31,16,154,4
Kendall Wright ,8.06,139,94,1079,2,105,64,626,4
Vincent Jackson ,7.01,161,78,1224,7,147,72,1384,8
Rueben Randle ,6.99,78,41,611,6,32,19,298,3
Andre Johnson ,7.44,181,109,1407,5,162,112,1598,4
Greg Jennings ,6.89,106,68,804,4,62,36,366,4
James Jones ,6.41,93,59,817,3,100,64,784,14
Doug Baldwin ,6.33,75,50,778,5,50,29,366,3
Andrew Hawkins ,6.39,20,12,199,0,86,51,533,4
Kenny Britt ,5.89,35,11,96,0,90,45,589,4
Michael Crabtree ,5.89,33,19,284,1,128,85,1105,9
Andre Holmes ,5.83,52,25,431,1,2,2,11,0
Pierre Garcon ,5.83,184,113,1346,5,69,44,633,4
Larry Fitzgerald ,6.46,138,82,954,10,156,71,798,4
Reggie Wayne ,5.99,56,38,503,2,196,106,1355,5
Percy Harvin ,6.19,1,1,17,0,107,62,677,3
Jarius Wright ,4.87,43,26,434,3,38,22,310,2
Nate Washington ,4.79,105,58,919,3,90,46,746,4
Riley Cooper ,4.73,83,47,835,8,47,23,248,3
Dwayne Bowe ,5.03,103,57,673,5,114,59,801,3
Devin Hester ,4.50,0,0,0,0,43,23,242,1
Miles Austin ,5.73,49,24,244,0,119,66,943,6
Harry Douglas ,5.63,132,85,1067,2,61,38,395,1
Cole Beasley ,4.12,54,39,368,2,24,15,128,0
Hakeem Nicks ,4.03,101,56,896,0,100,53,692,3
Jerricho Cotchery ,4.27,77,46,602,10,27,17,205,0
Cecil Shorts ,4.75,123,66,777,3,106,55,979,7
Stevie Johnson ,4.73,102,52,597,3,148,79,1046,6
Jermaine Kearse ,4.08,38,22,346,4,7,3,31,0
Andre Roberts ,3.71,76,43,471,2,118,64,759,5
Brian Hartline ,3.71,130,76,1016,4,131,74,1083,1
Wes Welker ,4.17,111,73,778,10,177,118,1354,6
Jeremy Kerley ,3.47,77,43,523,3,101,56,827,2
Brian Quick ,7.93,35,18,302,2,27,11,156,2
Louis Murphy ,4.55,13,6,37,1,62,25,336,1
Travis Benjamin ,3.75,14,5,105,0,43,18,298,2
Jason Avant ,2.59,76,38,447,2,76,53,648,0
Damaris Johnson ,2.56,3,2,14,0,34,19,256,0
Victor Cruz ,6.62,122,73,998,4,143,86,1092,10
Jeremy Ross ,2.33,14,6,67,1,0,0,0,0
