Antonio Brown ,187,129,1698,13,171,110,1499,8
Jordy Nelson ,151,98,1519,13,127,85,1314,8
Dez Bryant ,136,88,1320,16,160,93,1233,13
Demaryius Thomas ,184,111,1619,11,142,92,1430,14
Randall Cobb ,138,91,1287,12,51,31,433,4
Emmanuel Sanders ,149,101,1404,9,113,67,740,6
Julio Jones ,164,104,1593,6,60,41,580,2
T.Y. Hilton ,133,82,1345,7,137,82,1083,5
Alshon Jeffery ,151,85,1133,10,165,89,1421,7
Golden Tate ,149,99,1331,4,102,64,898,5
DeSean Jackson ,99,56,1169,6,129,82,1332,9
Mike Wallace ,120,67,862,10,141,73,930,5
Torrey Smith ,92,49,767,11,137,65,1128,4
Steve Smith ,134,79,1065,6,110,64,745,4
A.J. Green ,118,69,1041,6,178,98,1426,11
Brandon LaFell ,121,74,953,7,87,49,627,5
Anquan Boldin ,133,83,1062,5,131,85,1179,7
Roddy White ,124,80,921,7,97,63,711,3
Julian Edelman ,144,92,972,4,153,105,1056,6
Eric Decker ,114,74,962,5,136,87,1288,11
Malcom Floyd ,92,52,856,6,11,6,149,0
Eddie Royal ,94,62,778,7,70,47,631,8
Michael Floyd ,100,47,841,6,112,65,1041,5
Marques Colston ,99,59,902,5,111,75,943,5
Brandon Marshall ,106,61,721,8,164,100,1295,12
Mohamed Sanu ,109,56,790,5,82,47,455,2
Kendall Wright ,97,57,715,6,139,94,1079,2
Vincent Jackson ,142,70,1002,2,161,78,1224,7
Rueben Randle ,127,71,938,3,78,41,611,6
Andre Johnson ,146,85,936,3,181,109,1407,5
Greg Jennings ,91,59,742,6,106,68,804,4
James Jones ,111,73,666,6,93,59,817,3
Doug Baldwin ,99,66,825,3,75,50,778,5
Andrew Hawkins ,115,63,824,2,20,12,199,0
Kenny Britt ,86,48,748,3,35,11,96,0
Michael Crabtree ,109,68,698,4,33,19,284,1
Andre Holmes ,99,47,693,4,52,25,431,1
Pierre Garcon ,106,68,752,3,184,113,1346,5
Larry Fitzgerald ,103,63,784,2,138,82,954,10
Reggie Wayne ,116,64,779,2,56,38,503,2
Percy Harvin ,111,51,483,1,1,1,17,0
Jarius Wright ,67,42,588,2,43,26,434,3
Nate Washington ,72,40,647,2,105,58,919,3
Riley Cooper ,94,55,577,3,83,47,835,8
Dwayne Bowe ,95,60,754,0,103,57,673,5
Devin Hester ,65,38,504,2,0,0,0,0
Miles Austin ,72,47,568,2,49,24,244,0
Harry Douglas ,74,51,556,2,132,85,1067,2
Cole Beasley ,49,37,420,4,54,39,368,2
Hakeem Nicks ,68,38,405,4,101,56,896,0
Jerricho Cotchery ,78,48,580,1,77,46,602,10
Cecil Shorts ,112,53,557,1,123,66,777,3
Stevie Johnson ,48,35,435,3,102,52,597,3
Jermaine Kearse ,72,38,537,1,38,22,346,4
Andre Roberts ,75,36,453,2,76,43,471,2
Brian Hartline ,63,39,474,2,130,76,1016,4
Wes Welker ,64,49,464,2,111,73,778,10
Jeremy Kerley ,80,38,409,1,77,43,523,3
Brian Quick ,39,25,375,3,35,18,302,2
Louis Murphy ,56,31,380,2,13,6,37,1
