Antonio Brown,252,26,110,1499,8,66,787,5
Jordy Nelson,230,29,85,1314,8,49,745,7
Dez Bryant,228,26,93,1233,13,92,1382,12
Randall Cobb,202,24,31,433,4,80,954,8
Emmanuel Sanders,201,27,67,740,6,44,626,1
Julio Jones,193,25,41,580,2,79,1198,10
T.Y. Hilton,179,25,82,1083,5,50,861,7
Alshon Jeffery,177,24,89,1421,7,24,367,3
Golden Tate,162,26,64,898,5,45,688,7
DeSean Jackson,154,28,82,1332,9,45,700,2
Mike Wallace,146,28,73,930,5,64,836,8
Torrey Smith,143,25,65,1128,4,49,855,8
Steve Smith,141,35,64,745,4,73,1174,4
Anquan Boldin,137,34,85,1179,7,65,921,4
Brandon LaFell,137,28,49,627,5,44,677,4
A.J. Green,136,26,98,1426,11,97,1350,11
Julian Edelman,133,28,105,1056,6,21,235,3
Roddy White,132,33,63,711,3,92,1351,7
Eric Decker,126,27,87,1288,11,85,1064,13
Malcom Floyd,122,33,6,149,0,56,814,5
Brandon Marshall,118,30,100,1295,12,118,1508,11
Marques Colston,118,31,75,943,5,83,1154,10
Michael Floyd,118,25,65,1041,5,45,562,2
Rueben Randle,112,23,41,611,6,19,298,3
Kendall Wright,111,25,94,1079,2,64,626,4
Vincent Jackson,110,31,78,1224,7,72,1384,8
Greg Jennings,110,31,68,804,4,36,366,4
Andre Johnson,106,33,109,1407,5,112,1598,4
James Jones,101,30,59,817,3,64,784,14
Doug Baldwin,101,26,50,778,5,29,366,3
Andrew Hawkins,96,28,12,199,0,51,533,4
Kenny Britt,94,26,11,96,0,45,589,4
Michael Crabtree,94,27,19,284,1,85,1105,9
Andre Holmes,93,26,25,431,1,2,11,0
Pierre Garcon,93,28,113,1346,5,44,633,4
Reggie Wayne,90,36,38,503,2,106,1355,5
Larry Fitzgerald,90,31,82,954,10,71,798,4
Percy Harvin,79,26,1,17,0,62,677,3
Jarius Wright,78,25,26,434,3,22,310,2
Dwayne Bowe,77,30,57,673,5,59,801,3
Nate Washington,77,31,58,919,3,46,746,4
Riley Cooper,74,27,47,835,8,23,248,3
Harry Douglas,70,30,85,1067,2,38,396,1
Miles Austin,69,30,24,244,0,66,943,6
Cecil Shorts,67,27,66,777,3,55,979,7
Jerricho Cotchery,66,32,46,602,10,17,205,0
Hakeem Nicks,65,26,56,896,0,53,692,3
Jermaine Kearse,64,24,22,346,4,3,31,0
Cole Beasley,62,25,39,368,2,15,128,0
Steve Johnson,62,28,52,597,3,79,1046,6
Jeremy Kerley,60,26,43,523,3,56,827,2
Brian Hartline,59,28,76,1016,4,74,1083,1
Wes Welker,58,33,73,778,10,118,1354,6
Brian Quick,56,25,18,302,2,11,156,2
Andre Roberts,55,26,43,471,2,64,759,5
Travis Benjamin,51,25,5,105,0,18,298,2
Louis Murphy,50,27,6,37,1,25,336,1
Jason Avant,41,31,38,447,2,53,648,0
Damaris Johnson,41,25,2,14,0,19,256,0
Brandon Gibson,36,27,30,326,3,51,691,5
Lance Moore,34,31,37,457,2,65,1041,6
Josh Gordon,30,23,87,1646,9,50,805,5
Danny Amendola,26,29,54,633,2,63,666,3
Brandon Tate,25,27,1,6,0,13,211,1
Chris Givens,22,25,34,569,0,42,698,3
Eric Weems,22,29,1,8,0,2,27,0
Chris Owusu,22,24,13,114,0,1,24,0
Mike Williams,20,27,22,216,2,63,996,9
Ted Ginn,20,29,36,556,5,2,1,0
Austin Pettis,18,26,38,399,4,30,261,4
Josh Morgan,16,29,20,214,0,48,510,2
Donnie Avery,16,30,40,596,2,60,781,3
Rod Streater,14,26,60,888,4,39,584,3
Santana Moss,12,35,42,452,2,41,573,8
Robert Meachem,11,30,16,324,2,14,207,2
Jacoby Jones,11,30,37,455,2,30,406,1
Denarius Moore,10,26,46,695,5,51,741,7
Keshawn Martin,8,24,22,253,2,10,85,1
Dane Sanzenbacher,8,26,6,61,0,1,7,0
Dwayne Harris,8,27,9,80,2,17,222,1
Santonio Holmes,7,30,23,456,1,20,272,1
Greg Little,7,25,41,465,2,53,647,4
Andre Caldwell,5,29,16,200,3,1,18,0
Kris Durham,5,26,38,490,2,8,125,1
Kevin Ogletree,5,27,21,269,2,32,436,4
Seyi Ajirotutu,5,27,3,64,1,3,45,0
Jerrel Jernigan,4,25,29,329,2,3,22,0
DeVier Posey,3,25,15,155,0,6,87,0
Ryan Broyles,3,26,8,85,0,22,310,2
Jarrett Boykin,2,25,49,681,3,5,27,0
Aldrick Robinson,1,26,18,365,2,11,237,3
Josh Cribbs,1,31,2,6,0,7,63,0
Darrius Heyward-Bey,1,27,29,309,1,41,606,5
Damian Williams,1,26,15,178,0,30,324,0
