1,Antonio Brown,110,1499,8,252,15.75
2,Jordy Nelson,85,1314,8,230,14.38
3,Dez Bryant,93,1233,13,228,14.25
4,Randall Cobb,31,433,4,202,12.63
5,Emmanuel Sanders,67,740,6,201,12.56
6,Julio Jones,41,580,2,193,12.87
7,T.Y. Hilton,82,1083,5,179,11.93
8,Alshon Jeffery,89,1421,7,177,11.06
9,Golden Tate,64,898,5,162,10.13
10,Calvin Johnson,84,1492,12,156,12.00
11,DeAndre Hopkins,52,802,2,155,9.69
12,DeSean Jackson,82,1332,9,154,10.27
13,Mike Wallace,73,930,5,146,9.13
14,Torrey Smith,65,1128,4,143,8.94
15,Steve Smith,64,745,4,141,8.81
16,Anquan Boldin,85,1179,7,137,8.56
17,Brandon LaFell,49,627,5,137,8.56
18,A.J. Green,98,1426,11,136,10.46
19,Julian Edelman,105,1056,6,133,9.50
20,Roddy White,63,711,3,132,9.43
21,Eric Decker,87,1288,11,126,8.40
22,Mohamed Sanu,47,455,2,123,7.69
23,Malcom Floyd,6,149,0,122,7.63
24,Brandon Marshall,100,1295,12,118,9.08
25,Marques Colston,75,943,5,118,7.38
26,Michael Floyd,65,1041,5,118,7.38
27,Rueben Randle,41,611,6,112,7.00
28,Kenny Stills,32,641,5,111,7.40
29,Kendall Wright,94,1079,2,111,7.93
30,Terrance Williams,44,736,5,110,6.88
31,Vincent Jackson,78,1224,7,110,6.88
32,Greg Jennings,68,804,4,110,6.88
33,Andre Johnson,109,1407,5,106,7.07
34,James Jones,59,817,3,101,6.31
35,Doug Baldwin,50,778,5,101,6.31
36,Robert Woods,40,587,3,100,6.25
37,Keenan Allen,71,1046,8,98,7.00
38,Andrew Hawkins,12,199,0,96,6.40
39,Kenny Britt,11,96,0,94,5.88
40,Michael Crabtree,19,284,1,94,5.88
41,Andre Holmes,25,431,1,93,5.81
42,Pierre Garcon,113,1346,5,93,5.81
43,Reggie Wayne,38,503,2,90,6.00
44,Larry Fitzgerald,82,954,10,90,6.43
45,Percy Harvin,1,17,0,79,6.08
46,Jarius Wright,26,434,3,78,4.88
47,Markus Wheaton,6,64,0,78,4.88
48,Dwayne Bowe,57,673,5,77,5.13
49,Nate Washington,58,919,3,77,4.81
50,Riley Cooper,47,835,8,74,4.63
51,Harry Douglas,85,1067,2,70,5.83
52,Miles Austin,24,244,0,69,5.75
53,Justin Hunter,18,354,4,68,5.67
54,Cecil Shorts,66,777,3,67,5.15
55,Jerricho Cotchery,46,602,10,66,4.40
56,Hakeem Nicks,56,896,0,65,4.06
57,Jermaine Kearse,22,346,4,64,4.27
