,,,,,,,,,
,,,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy
Rk,,Age,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt
1,Aaron Rodgers*+,28,0,0,0,,0,QB,399
2,Drew Brees*,32,0,0,0,,0,QB,396
3,Ray Rice*,24,104,76,704,9.26,3,RB,301
4,Calvin Johnson*+,26,158,96,1681,17.51,16,WR,267
5,Cam Newton*,22,1,1,27,27,0,QB,375
6,Rob Gronkowski*+,22,124,90,1327,14.74,17,TE,241
7,Tom Brady*,34,0,0,0,,0,QB,370
8,LeSean McCoy*+,23,69,48,315,6.56,3,RB,282
9,Matthew Stafford,23,0,0,0,,0,QB,347
10,Maurice Jones-Drew*+,26,64,43,374,8.7,3,RB,264
11,Arian Foster*,25,72,53,617,11.64,2,RB,256
12,Jordy Nelson,26,96,68,1263,18.57,15,WR,216
13,Jimmy Graham*,25,149,99,1310,13.23,11,TE,197
14,Wes Welker*+,30,173,122,1569,12.86,9,WR,214
15,Victor Cruz,25,131,82,1536,18.73,9,,208
16,Larry Fitzgerald*,28,154,80,1411,17.64,8,WR,189
17,Steve Smith*,32,129,79,1394,17.65,7,WR,189
18,Marshawn Lynch*,25,41,28,212,7.57,1,RB,220
19,Michael Turner,29,26,17,168,9.88,0,RB,217
20,Percy Harvin,23,121,87,967,11.11,6,WR,179
21,Roddy White*,30,180,100,1296,12.96,8,WR,178
22,Eli Manning*,30,0,0,0,,0,QB,289
23,Mike Wallace*,25,114,72,1193,16.57,8,WR,173
24,Vincent Jackson*,28,115,60,1106,18.43,9,WR,170
25,Tony Romo,31,0,0,0,,0,QB,282
26,Matt Ryan,26,0,0,0,,0,QB,281
27,Marques Colston,28,107,80,1143,14.29,8,WR,162
28,Hakeem Nicks,23,133,76,1192,15.68,7,WR,161
29,Brandon Marshall*,27,141,81,1214,14.99,6,WR,161
30,Ryan Mathews*,24,59,50,455,9.1,0,RB,191
31,Adrian Peterson,26,24,18,139,7.72,1,RB,189
32,Aaron Hernandez,22,113,79,910,11.52,7,TE,138
33,Michael Bush,27,47,37,418,11.3,1,RB,188
34,Darren Sproles,28,111,86,710,8.26,7,RB,187
35,A.J. Green*,23,115,65,1057,16.26,7,WR,153
36,Philip Rivers*,30,0,0,0,,0,QB,265
37,Laurent Robinson,26,80,54,858,15.89,11,WR,152
38,Steven Jackson,28,58,42,333,7.93,1,RB,184
39,Nate Washington,28,121,74,1023,13.82,7,WR,151
40,Frank Gore*,28,31,17,114,6.71,0,RB,183
41,Julio Jones,22,95,54,959,17.76,8,WR,150
42,Greg Jennings*,28,101,67,949,14.16,9,WR,149
43,Tony Gonzalez*,35,116,80,875,10.94,7,TE,130
44,Reggie Bush,26,52,43,296,6.88,1,RB,180
45,Dez Bryant,23,103,63,928,14.73,9,WR,147
46,Dwayne Bowe,27,142,81,1159,14.31,5,WR,147
47,Jermichael Finley,24,92,55,767,13.95,8,TE,127
48,Mark Sanchez,25,0,0,0,,0,QB,255
49,Jason Witten,29,117,79,942,11.92,5,TE,124
50,Steve Johnson,25,134,76,1004,13.21,7,WR,142
51,Fred Jackson,30,50,39,442,11.33,0,RB,174
52,Matt Forte*,26,76,52,490,9.42,1,RB,173
53,Antonio Gates*,31,88,64,778,12.16,7,TE,120
54,Chris Johnson,26,79,57,418,7.33,0,RB,171
55,Beanie Wells,23,16,10,52,5.2,0,RB,170
56,Pierre Garcon,25,134,70,947,13.53,6,WR,134
57,Vernon Davis,27,95,67,792,11.82,6,TE,115
58,Shonn Greene,26,41,30,211,7.03,0,RB,163
59,Torrey Smith,22,95,50,841,16.82,7,WR,130
60,Dustin Keller,27,115,65,815,12.54,5,TE,112
61,Rashard Mendenhall,24,28,18,154,8.56,0,RB,162
62,Brent Celek,26,98,62,811,13.08,5,TE,111
63,Brandon Lloyd,30,148,70,966,13.8,5,WR,129
64,Michael Vick,31,0,0,0,,0,QB,241
65,Ahmad Bradshaw,25,44,34,267,7.85,2,RB,161
66,Antonio Brown*,23,124,69,1108,16.06,2,WR,127
67,Brandon Pettigrew,26,126,83,777,9.36,5,TE,108
68,Jabar Gaffney,31,114,68,947,13.93,5,WR,125
69,Willis McGahee*,30,20,12,51,4.25,1,RB,157
70,DeSean Jackson,25,104,58,961,16.57,4,WR,124
71,Darrius Heyward-Bey,24,115,64,975,15.23,4,WR,122
72,Reggie Wayne,33,132,75,960,12.8,4,WR,120
73,Mike Tolbert,26,79,54,433,8.02,2,RB,152
74,Cedric Benson,29,22,15,82,5.47,0,RB,151
75,Garrett Mills,28,,0,0,,0,,
76,Santonio Holmes,27,101,51,654,12.82,8,WR,116
77,Marquis Johnson,23,0,0,0,,0,,
78,Korey Hall,28,0,0,0,,0,,
79,Ryan Fitzpatrick,29,0,0,0,,0,QB,229
80,Ben Roethlisberger*,29,0,0,0,,0,QB,226
81,Josh Freeman,23,1,0,-4,,0,QB,225
82,Alex Smith,27,0,0,0,,0,QB,216
83,Joe Flacco,26,1,1,-8,-8,0,QB,214
84,Tim Tebow,24,0,0,0,,0,QB,213
85,Andy Dalton*,24,1,0,0,,0,QB,213
86,Matt Hasselbeck,36,0,0,0,,0,QB,192
87,Tarvaris Jackson,28,0,0,0,,0,QB,172
88,Colt McCoy,25,1,1,-5,-5,0,QB,166
89,Matt Moore,27,0,0,0,,0,QB,166
90,Matt Schaub,30,0,0,0,,0,QB,160
91,Rex Grossman,31,0,0,0,,0,QB,159
92,BenJarvus Green-Ellis,26,13,9,159,17.67,0,RB,149
93,Jonathan Stewart,24,61,47,413,8.79,1,RB,147
94,Jay Cutler,28,0,0,0,,0,QB,142
95,DeAngelo Williams,28,25,16,135,8.44,0,RB,139
96,Carson Palmer,32,0,0,0,,0,QB,138
97,Pierre Thomas,27,59,50,425,8.5,1,RB,137
98,Ben Tate,23,19,13,98,7.54,0,RB,128
99,Blaine Gabbert,22,0,0,0,,0,QB,124
100,LeGarrette Blount,25,25,15,148,9.87,0,RB,123
101,Christian Ponder,23,0,0,0,,0,QB,122
102,Roy Helu,23,59,49,379,7.73,1,RB,120
103,Brandon Jacobs,29,23,15,128,8.53,1,RB,120
104,DeMarco Murray,23,35,26,183,7.04,0,RB,120
105,C.J. Spiller,24,54,39,269,6.9,2,RB,119
106,Malcom Floyd,30,70,43,856,19.91,5,WR,116
107,Jeremy Maclin,23,96,63,859,13.63,5,WR,116
108,Lance Moore,28,73,52,627,12.06,8,WR,115
109,Michael Crabtree,24,115,72,874,12.14,4,WR,114
110,Plaxico Burress,34,96,45,612,13.6,8,WR,109
111,Eric Decker,24,96,44,612,13.91,8,WR,109
112,John Skelton,23,0,0,0,,0,QB,107
113,Anquan Boldin,31,106,57,887,15.56,3,WR,107
114,Kevin Kolb,27,0,0,0,,0,QB,107
115,Darren McFadden,24,23,19,154,8.11,1,RB,107
116,Denarius Moore,23,76,33,618,18.73,5,WR,106
117,James Jones,27,55,38,635,16.71,7,WR,106
118,Donald Brown,24,19,16,86,5.38,0,RB,103
119,Doug Baldwin,23,85,51,788,15.45,4,WR,103
120,Nate Burleson,30,110,73,757,10.37,3,WR,102
121,Ryan Grant,29,24,19,268,14.11,1,RB,101
122,Sam Bradford,24,0,0,0,,0,QB,101
123,Deion Branch,32,90,51,702,13.76,5,WR,100
124,Matt Cassel,29,1,1,-4,-4,0,QB,100
125,Miles Austin,27,73,43,579,13.47,7,WR,100
126,Robert Meachem,27,60,40,620,15.5,6,WR,100
127,Titus Young,22,86,48,607,12.65,6,WR,100
128,Mike Williams,24,124,65,771,11.86,3,WR,99
129,Early Doucet,26,97,54,689,12.76,5,WR,99
130,Jerome Simpson,25,105,50,725,14.5,4,WR,99
131,David Nelson,25,97,61,658,10.79,5,TE,98
132,Fred Davis,25,88,59,796,13.49,3,TE,98
133,Jermaine Gresham*,23,92,56,596,10.64,6,TE,96
134,Dexter McCluster,23,64,46,328,7.13,1,WR,96
135,Kevin Smith,25,28,22,179,8.14,3,RB,96
136,Toby Gerhart,24,28,23,190,8.26,3,RB,96
137,Kellen Winslow,28,120,75,763,10.17,2,TE,94
138,Jared Cook,24,81,49,759,15.49,3,TE,94
139,Steve Breaston,28,98,61,785,12.87,2,WR,93
140,LaDainian Tomlinson,32,61,42,449,10.69,2,RB,91
141,Peyton Hillis,25,34,22,130,5.91,0,RB,90
142,Kyle Orton,29,0,0,0,,0,QB,90
